error_type,feature,direction,case_count,appearance_count,mean_abs_shap,mean_shap_value,median_rank,feature_group,korean_name,description,case_share
false_positive,is_2y_consecutive_ocf_deficit,increase_risk,5,5,0.24750542044639587,0.24750542044639587,8.0,trend_early_warning,2년 연속 OCF 적자 여부,당기와 전기 모두 영업현금흐름이 음수인지 여부,0.06172839506172839
false_positive,market,decrease_risk,5,5,0.21782157123088836,-0.21782157123088836,9.0,context,시장구분,상장시장 구분,0.06172839506172839
false_positive,intangible_assets_ratio,increase_risk,4,4,0.9052862972021103,0.9052862972021103,1.5,cashflow_structure,무형자산 비중,총자산 대비 무형자산 비율,0.04938271604938271
false_positive,cash_ratio,decrease_risk,4,4,0.43004193529486656,-0.43004193529486656,3.0,stability_leverage,현금비율,유동부채 대비 현금및현금성자산 비율,0.04938271604938271
false_positive,total_borrowings_ratio,decrease_risk,4,4,0.2499994561076164,-0.2499994561076164,9.5,stability_leverage,총차입금비율,총자산 대비 총차입금 비율,0.04938271604938271
false_positive,current_ratio,increase_risk,4,4,0.23329451680183408,0.23329451680183408,8.5,stability_leverage,유동비율,유동자산 대비 유동부채 비율,0.04938271604938271
false_positive,ocf_to_sales,increase_risk,3,3,0.4660741190115611,0.4660741190115611,3.0,cashflow_structure,OCF/매출액,매출액 대비 영업현금흐름 비율,0.037037037037037035
false_positive,short_term_borrowings_share,decrease_risk,3,3,0.44007061918576557,-0.44007061918576557,6.0,trend_early_warning,단기차입금 비중,총차입금 중 단기차입금 비중,0.037037037037037035
false_positive,short_term_borrowings_share,increase_risk,3,3,0.16823267440001163,0.16823267440001163,9.0,trend_early_warning,단기차입금 비중,총차입금 중 단기차입금 비중,0.037037037037037035
false_positive,market_to_book,increase_risk,2,2,0.39082057029008865,0.39082057029008865,5.0,market_shareholder,Market-to-Book,시가총액 대비 장부가치 비율,0.024691358024691357
false_positive,operating_roa,decrease_risk,2,2,0.2193754762411117,-0.2193754762411117,8.0,profitability_returns,총자산영업이익률,총자산 대비 영업이익 비율,0.024691358024691357
false_positive,ocf_to_sales,decrease_risk,1,1,0.3144897222518921,-0.3144897222518921,4.0,cashflow_structure,OCF/매출액,매출액 대비 영업현금흐름 비율,0.012345679012345678
false_positive,accruals_ratio,increase_risk,1,1,0.2573127150535583,0.2573127150535583,8.0,cashflow_structure,발생액 비율,총자산 대비 순이익과 영업현금흐름의 차이 (이익품질 지표),0.012345679012345678
false_positive,total_assets_growth,decrease_risk,1,1,0.2472534477710724,-0.2472534477710724,9.0,trend_early_warning,총자산증가율,전년 대비 총자산 증가율,0.012345679012345678
false_positive,debt_ratio,increase_risk,1,1,0.1854359358549118,0.1854359358549118,7.0,stability_leverage,부채비율,자기자본 대비 총부채 비율,0.012345679012345678
false_positive,total_debt_turnover,increase_risk,1,1,0.1417343616485595,0.1417343616485595,10.0,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,0.012345679012345678
