market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,cash_ratio,assets_total,assets_total_industry_year_pct,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,gross_profit_industry_year_pct,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,depreciation_industry_year_pct,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail
KOSDAQ,078130,국일제지(주),2025,2026,large,manufacturing,2004,6.683864454103905,1.1488968824877497,133849225.665,0.36397984886649876,0.8955948478628055,0.1165763206279499,,-0.063278806501798,-0.0273914828094926,5542546.178,0.1801007556675063,-0.8646648509778716,-0.0071956380861742,-0.003698822436516,-0.0080344790988307,0.2568907228663878,,0.0529607051680971,6.269814228623614,-0.0406924931761053,1644242.0,0.3142317380352645,0.0021448291954898,4.850591057105781,0,3.272895101173036,5.803,,-0.0601598208974379,0.2034592238027483,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
KOSDAQ,078140,대봉엘에스(주),2025,2026,small_and_medium,manufacturing,2005,5.442814118717508,0.3737634761852471,264960926.642,0.5837531486146096,0.6601500980192968,0.5148070158595495,0.5194534690202242,-30.554184874161813,0.1170100965308208,28494755.143,0.5453400503778337,1.032147981514854,0.0556262654980604,0.0276702057390746,0.0842630572425279,0.0989075056698835,0.064709753831208,0.0872624991856976,1.2538511363740128,0.0114588397522562,3608263.291,0.48677581863979846,0.0034684025891926,1.133448005647935,1,0.7384123548796688,5.803,0.0309990172805296,0.1099566859949825,0.0139092798398762,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,078150,(주)에이치비테크놀러지,2025,2026,mid_sized,manufacturing,2004,1.3110494541826827,0.3668606540612521,382256656.958,0.6756926952141058,0.7458006581303923,0.3408408655830988,0.2455792236165407,-5.149694219361431,0.1771745376863621,27282186.998,0.5314861460957179,0.2269623345914246,0.0857933841178423,0.0163262721535434,0.115035275421871,0.1276510242715917,0.132131724666933,0.0773732599251786,0.4510923728724209,0.0418546709750509,3278492.0,0.464735516372796,0.0123786182996936,1.649808013712135,1,0.6039324675132982,5.803,0.5,0.0958665789656752,0.4949274038371526,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,078160,메디포스트(주),2025,2026,small_and_medium,manufacturing,2005,1.3251508644977508,0.794655037101837,431550932.707,0.7015113350125944,0.5790898244951154,0.7268478182497142,0.1074647591469514,-11.748847571903738,-1.1674600279507956,45436444.413,0.6505037783375315,-2.820872515995866,-0.1989867304314299,-0.1575336329516343,-0.3436198013061589,-0.3146016016789356,-1.232208739199087,-0.7758343918006192,-2.3711581715780508,-0.066842462364888,5517406.054,0.5887909319899244,0.0083554735020075,0.4055009741818518,0,2.8535912581618343,5.803,1.0,0.0416702497456023,-0.270486263655941,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,078340,(주)컴투스,2025,2026,mid_sized,it_services,2007,0.8463113922436732,0.2216813402393874,1615624150.416,0.8610108303249098,0.6617255080209852,0.5112006230358092,0.1700643418230986,-165.18448825780598,0.0134454283629764,696423825.0,0.9169675090252708,0.0311811945599126,0.0232342962769741,0.0016302793396111,0.0351116830095619,-0.0717497885318458,-0.1427172974947257,-0.056306248404625,-0.4642165292364632,0.0300668503540827,12476268.154,0.7617328519855595,0.0337834396075015,1.274277554708338,1,0.3461153142186984,5.803,0.997452322562198,-0.0184440408515758,0.2324539833145386,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
KOSDAQ,078350,한양디지텍(주),2025,2026,mid_sized,manufacturing,2004,1.3913097426648282,0.1445864408649284,297513744.344,0.6089420654911839,0.571423600781382,0.7500152227394347,0.0547873848179368,-21.304134739604397,0.0230032850582477,46725252.001,0.6580604534005038,2.311273718850206,0.0665850735826669,0.0802349536376349,0.1165248923768925,0.2132087286786291,1.6678333803067484,0.0417566019665497,2.632212864177401,-0.0410379988726938,18232407.0,0.8035264483627204,0.0093115290626601,5.105988481759741,0,1.9323771364456184,5.803,1.0,0.074622383338575,-0.0198809371153643,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,078590,(주)휴림에이텍,2025,2026,small_and_medium,manufacturing,2005,0.5758225161621079,0.0999278085018434,81606809.941,0.21095717884130982,0.5997324787647528,0.6674101126883502,,-0.3992365423495783,-0.1727621578570455,8872963.003,0.2575566750629723,0.0230398196135007,-0.1183531133490309,0.0030364229428787,-0.1973431780663248,0.0148586066490138,,0.0075394124474559,0.0451279128288273,-0.1422297492622436,0.0,0.07084382871536524,0.0191554025347905,1.9707910599887233,0,,5.803,,0.0835907889782966,-0.2060692399755155,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,078600,대주전자재료(주),2025,2026,small_and_medium,manufacturing,2004,0.6389876311926783,0.2675626936697561,660395440.186,0.7903022670025189,0.3907816146115646,1.558974021830572,0.6683007514659642,-32.341151259257316,0.0820831166754164,55258821.277,0.690176322418136,1.1482826425022528,0.0340774639201954,0.0313238461113144,0.0872033449016487,0.0272136429711526,0.0248077704462484,0.0430014270669989,0.6077618038940371,0.0150678103973543,16066031.0,0.7827455919395466,0.0022830683894112,0.6328544150116718,1,3.8091066264725697,5.803,0.6436239009457382,0.0601097646549964,-0.0838599458754292,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,078860,(주)스테이지원엔터,2025,2026,small_and_medium,it_services,2006,2.046081471829054,0.1430866119636475,84822678.465,0.35379061371841153,0.8090613165831252,0.2360002629012819,0.0948669729796418,-10.560670261408694,-1.423759168930969,-1953360.521,0.010830324909747292,-1.4386251226112752,-0.2006452189908455,-0.0945842240800076,-0.2479975434225703,-0.6316374479637418,-1.2712962048116885,-0.8366200970862667,-1.8343860051465708,-0.0846397716261977,2280644.0,0.5018050541516246,0.0446114091358409,0.7549871801592777,0,0.9143068479508892,5.803,,-0.1368050052191349,-0.5719291980516154,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
KOSDAQ,078890,가온그룹(주),2025,2026,mid_sized,manufacturing,2005,1.2542593118567402,0.1562094923300998,400370260.91,0.6863979848866498,0.3061049945204332,2.2668529357604044,0.4499222066808128,-12.58189236583492,0.0112168867336026,106065882.494,0.7959697732997482,0.3303657129104619,-0.0070687665701429,0.0312854248278337,-0.0230926208218763,0.0078533306185988,0.012111842473451,0.0042155821061276,0.0575440671051868,0.0090504268942556,5167076.0,0.5736775818639799,0.0399370446337779,1.8629291094066045,0,0.8584959768826714,5.803,0.8912448514997579,-0.1074438888767532,0.1258233102119121,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
