variant,eval_year,dimension,segment,rows,positives,negatives,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
macro_regime_plus_interactions_61,2020,market,KOSPI,262,32,230,0.6875,0.6875,0.6875,220,10,10,22
macro_regime_plus_interactions_61,2020,industry,manufacturing,403,115,288,0.7622950819672131,0.808695652173913,0.7848101265822784,259,29,22,93
macro_regime_plus_interactions_61,2020,industry,it_services,103,15,88,0.6666666666666666,0.8,0.7272727272727273,82,6,3,12
macro_regime_plus_interactions_61,2021,overall,all,673,165,508,0.66,0.8,0.7232876712328767,440,68,33,132
macro_regime_plus_interactions_61,2021,market,KOSDAQ,392,126,266,0.6380368098159509,0.8253968253968254,0.7197231833910035,207,59,22,104
macro_regime_plus_interactions_61,2021,market,KOSPI,281,39,242,0.7567567567567568,0.717948717948718,0.7368421052631579,233,9,11,28
macro_regime_plus_interactions_61,2021,industry,manufacturing,449,131,318,0.660377358490566,0.8015267175572519,0.7241379310344828,264,54,26,105
macro_regime_plus_interactions_61,2021,industry,it_services,125,18,107,0.6363636363636364,0.7777777777777778,0.7,99,8,4,14
macro_regime_plus_interactions_61,2022,overall,all,676,176,500,0.6740088105726872,0.8693181818181818,0.7593052109181141,426,74,23,153
macro_regime_plus_interactions_61,2022,market,KOSDAQ,403,143,260,0.6810810810810811,0.8811188811188811,0.7682926829268293,201,59,17,126
macro_regime_plus_interactions_61,2022,market,KOSPI,273,33,240,0.6428571428571429,0.8181818181818182,0.72,225,15,6,27
macro_regime_plus_interactions_61,2022,industry,manufacturing,450,136,314,0.6900584795321637,0.8676470588235294,0.7687296416938111,261,53,18,118
macro_regime_plus_interactions_61,2022,industry,it_services,129,23,106,0.6785714285714286,0.8260869565217391,0.7450980392156863,97,9,4,19
macro_regime_plus_interactions_61,final_test,overall,all,924,203,721,0.7,0.8620689655172413,0.7726269315673289,646,75,28,175
macro_regime_plus_interactions_61,final_test,market,KOSDAQ,427,163,264,0.7106598984771574,0.8588957055214724,0.7777777777777778,207,57,23,140
macro_regime_plus_interactions_61,final_test,market,KOSPI,497,40,457,0.660377358490566,0.875,0.7526881720430108,439,18,5,35
macro_regime_plus_interactions_61,final_test,industry,manufacturing,598,162,436,0.7055837563451777,0.8580246913580247,0.7743732590529248,378,58,23,139
macro_regime_plus_interactions_61,final_test,industry,it_services,176,21,155,0.6666666666666666,0.7619047619047619,0.7111111111111111,147,8,5,16
macro_full_pressure_70,2019,overall,all,574,140,434,0.6526315789473685,0.8857142857142857,0.7515151515151515,368,66,16,124
macro_full_pressure_70,2019,market,KOSDAQ,311,106,205,0.6530612244897959,0.9056603773584906,0.758893280632411,154,51,10,96
macro_full_pressure_70,2019,market,KOSPI,263,34,229,0.6511627906976745,0.8235294117647058,0.7272727272727273,214,15,6,28
macro_full_pressure_70,2019,industry,manufacturing,378,103,275,0.65,0.883495145631068,0.7489711934156379,226,49,12,91
macro_full_pressure_70,2019,industry,it_services,96,13,83,0.631578947368421,0.9230769230769231,0.75,76,7,1,12
macro_full_pressure_70,2020,overall,all,603,151,452,0.75,0.8145695364238411,0.780952380952381,411,41,28,123
macro_full_pressure_70,2020,market,KOSDAQ,341,119,222,0.7575757575757576,0.8403361344537815,0.796812749003984,190,32,19,100
macro_full_pressure_70,2020,market,KOSPI,262,32,230,0.71875,0.71875,0.71875,221,9,9,23
macro_full_pressure_70,2020,industry,manufacturing,403,115,288,0.752,0.8173913043478261,0.7833333333333333,257,31,21,94
macro_full_pressure_70,2020,industry,it_services,103,15,88,0.7058823529411765,0.8,0.75,83,5,3,12
macro_full_pressure_70,2021,overall,all,673,165,508,0.6716417910447762,0.8181818181818182,0.7377049180327869,442,66,30,135
macro_full_pressure_70,2021,market,KOSDAQ,392,126,266,0.6524390243902439,0.8492063492063492,0.7379310344827587,209,57,19,107
macro_full_pressure_70,2021,market,KOSPI,281,39,242,0.7567567567567568,0.717948717948718,0.7368421052631579,233,9,11,28
macro_full_pressure_70,2021,industry,manufacturing,449,131,318,0.6729559748427673,0.816793893129771,0.7379310344827587,266,52,24,107
macro_full_pressure_70,2021,industry,it_services,125,18,107,0.6521739130434783,0.8333333333333334,0.7317073170731707,99,8,3,15
macro_full_pressure_70,2022,overall,all,676,176,500,0.65,0.8863636363636364,0.75,416,84,20,156
macro_full_pressure_70,2022,market,KOSDAQ,403,143,260,0.6530612244897959,0.8951048951048951,0.7551622418879056,192,68,15,128
macro_full_pressure_70,2022,market,KOSPI,273,33,240,0.6363636363636364,0.8484848484848485,0.7272727272727273,224,16,5,28
macro_full_pressure_70,2022,industry,manufacturing,450,136,314,0.6797752808988764,0.8897058823529411,0.7707006369426752,257,57,15,121
macro_full_pressure_70,2022,industry,it_services,129,23,106,0.5757575757575758,0.8260869565217391,0.6785714285714286,92,14,4,19
macro_full_pressure_70,final_test,overall,all,924,203,721,0.7155172413793104,0.8177339901477833,0.7632183908045977,655,66,37,166
macro_full_pressure_70,final_test,market,KOSDAQ,427,163,264,0.7197802197802198,0.803680981595092,0.7594202898550725,213,51,32,131
macro_full_pressure_70,final_test,market,KOSPI,497,40,457,0.7,0.875,0.7777777777777778,442,15,5,35
macro_full_pressure_70,final_test,industry,manufacturing,598,162,436,0.7180851063829787,0.8333333333333334,0.7714285714285715,383,53,27,135
macro_full_pressure_70,final_test,industry,it_services,176,21,155,0.6666666666666666,0.6666666666666666,0.6666666666666666,148,7,7,14
