variant,display_name,evaluation_scope,probability_bin,rows,mean_probability,actual_positive_rate,calibration_gap
rolling_oof_beta,Rolling OOF Beta,test,"(0.2, 0.3]",40,0.24522932018474405,0.2,0.04522932018474404
rolling_oof_beta,Rolling OOF Beta,test,"(0.3, 0.4]",25,0.3529680945012521,0.36,-0.007031905498747881
rolling_oof_beta,Rolling OOF Beta,test,"(0.4, 0.5]",38,0.44595304677006264,0.5263157894736842,-0.08036274270362154
rolling_oof_beta,Rolling OOF Beta,test,"(0.5, 0.6]",33,0.5490459818338086,0.6666666666666666,-0.11762068483285804
rolling_oof_beta,Rolling OOF Beta,test,"(0.6, 0.7]",34,0.6550831282026559,0.5588235294117647,0.09625959879089119
rolling_oof_beta,Rolling OOF Beta,test,"(0.7, 0.8]",29,0.7530792288165695,0.6551724137931034,0.0979068150234661
rolling_oof_beta,Rolling OOF Beta,test,"(0.8, 0.9]",40,0.8598258286722313,0.85,0.009825828672231363
rolling_oof_beta,Rolling OOF Beta,test,"(0.9, 1.0]",54,0.9559058829311963,0.9814814814814815,-0.02557559855028524
segment_market_platt,Market Segment Platt,valid,"(-0.001, 0.1]",362,0.0230031478192533,0.013812154696132596,0.009190993123120703
segment_market_platt,Market Segment Platt,valid,"(0.1, 0.2]",63,0.14515749240958967,0.12698412698412698,0.01817336542546269
segment_market_platt,Market Segment Platt,valid,"(0.2, 0.3]",40,0.24022853232304392,0.275,-0.0347714676769561
segment_market_platt,Market Segment Platt,valid,"(0.3, 0.4]",25,0.35298458139317646,0.56,-0.2070154186068236
segment_market_platt,Market Segment Platt,valid,"(0.4, 0.5]",21,0.46359811944739626,0.3333333333333333,0.13026478611406295
segment_market_platt,Market Segment Platt,valid,"(0.5, 0.6]",28,0.5373215066637659,0.6071428571428571,-0.06982135047909122
segment_market_platt,Market Segment Platt,valid,"(0.6, 0.7]",20,0.6506836673427313,0.65,0.0006836673427312867
segment_market_platt,Market Segment Platt,valid,"(0.7, 0.8]",27,0.758776483539558,0.7037037037037037,0.055072779835854235
segment_market_platt,Market Segment Platt,valid,"(0.8, 0.9]",41,0.8579713208816835,0.9024390243902439,-0.04446770350856044
segment_market_platt,Market Segment Platt,valid,"(0.9, 1.0]",49,0.9518314620850925,0.9183673469387755,0.033464115146316975
segment_market_platt,Market Segment Platt,test,"(-0.001, 0.1]",540,0.01917691169948686,0.020370370370370372,-0.0011934586708835133
segment_market_platt,Market Segment Platt,test,"(0.1, 0.2]",88,0.14260024012551342,0.09090909090909091,0.05169114921642251
segment_market_platt,Market Segment Platt,test,"(0.2, 0.3]",41,0.25581591057579023,0.17073170731707318,0.08508420325871704
segment_market_platt,Market Segment Platt,test,"(0.3, 0.4]",24,0.35730834973911124,0.375,-0.017691650260888758
segment_market_platt,Market Segment Platt,test,"(0.4, 0.5]",38,0.4470244304630947,0.5526315789473685,-0.10560714848427377
segment_market_platt,Market Segment Platt,test,"(0.5, 0.6]",35,0.5461021886461483,0.5714285714285714,-0.02532638278242305
segment_market_platt,Market Segment Platt,test,"(0.6, 0.7]",33,0.6556296549745669,0.6060606060606061,0.049569048913960856
segment_market_platt,Market Segment Platt,test,"(0.7, 0.8]",31,0.7511427449736535,0.6774193548387096,0.07372339013494389
segment_market_platt,Market Segment Platt,test,"(0.8, 0.9]",39,0.8516524703599243,0.8205128205128205,0.031139649847103823
segment_market_platt,Market Segment Platt,test,"(0.9, 1.0]",55,0.9491267089234258,0.9818181818181818,-0.032691472894756046
