candidate_id,display_name,note,half_life_years,use_monotonic_constraints,monotonic_profile,risk_proxy_pack,feature_count,added_risk_proxy_count,monotonic_constraint_count,eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,best_iteration,train_weight_min,train_weight_max,threshold_tuned,threshold_selection_rule,policy_precision_at_threshold,policy_recall_at_threshold,policy_f1_at_threshold,policy_pr_auc,policy_roc_auc,policy_brier,policy_logloss,eval_pr_auc,eval_roc_auc,eval_brier,eval_logloss,eval_precision_at_threshold,eval_recall_at_threshold,eval_f1_at_threshold,eval_true_negative_at_threshold,eval_false_positive_at_threshold,eval_false_negative_at_threshold,eval_true_positive_at_threshold
monotonic_time_decay_2y,단조 제약 + half-life 2년,방향성 제약과 최근연도 가중치를 함께 적용,2.0,True,broad,False,46,0,24,2020,2019,2001,574,603,0.2504145936981758,148,0.4122823049564875,1.64912921982595,0.355,policy_max_precision_with_recall_ge_0.85,0.725609756097561,0.85,0.7828947368421053,0.8547319424688519,0.9415898617511521,0.07885544345088019,0.2598424089555441,0.8395952558255708,0.9340239113872121,0.08714823898160334,0.27852259381966393,0.7577639751552795,0.8079470198675497,0.782051282051282,413,39,29,122
monotonic_time_decay_2y,단조 제약 + half-life 2년,방향성 제약과 최근연도 가중치를 함께 적용,2.0,True,broad,False,46,0,24,2021,2020,2575,603,673,0.2451708766716196,399,0.3178814227997895,1.7982088773996732,0.25,policy_max_precision_with_recall_ge_0.85,0.7021276595744681,0.8741721854304636,0.7787610619469026,0.8754840498037495,0.9483092070562035,0.07702602577902848,0.24697631663833133,0.8028712240264552,0.9181340968742544,0.09485106718412809,0.3091720896914327,0.6227272727272727,0.8303030303030303,0.7116883116883117,425,83,28,137
monotonic_time_decay_2y,단조 제약 + half-life 2년,방향성 제약과 최근연도 가중치를 함께 적용,2.0,True,broad,False,46,0,24,2022,2021,3178,673,676,0.2603550295857988,258,0.24588949769347046,1.9671159815477637,0.23,policy_max_precision_with_recall_ge_0.85,0.6470588235294118,0.8666666666666667,0.7409326424870466,0.8339422309649018,0.9325101407778572,0.0863045223664296,0.27722420102474005,0.8048905911594577,0.9211477272727272,0.09604832107065003,0.3083844638388971,0.6341463414634146,0.8863636363636364,0.7393364928909952,410,90,20,156
monotonic_time_decay_3y,단조 제약 + half-life 3년,방향성 제약과 완만한 최근연도 가중치를 함께 적용,3.0,True,broad,False,46,0,24,2019,2018,1490,511,574,0.24390243902439024,232,0.6656027264895604,1.3312054529791209,0.185,policy_max_precision_with_recall_ge_0.85,0.5872093023255814,0.8938053097345132,0.7087719298245614,0.832213620857457,0.9224885489393871,0.0812792027078357,0.2738639322081535,0.8075809790874112,0.9247037524687294,0.08910762071563552,0.2913439345594069,0.6018957345971564,0.9071428571428571,0.7236467236467237,350,84,13,127
monotonic_time_decay_3y,단조 제약 + half-life 3년,방향성 제약과 완만한 최근연도 가중치를 함께 적용,3.0,True,broad,False,46,0,24,2020,2019,2001,574,603,0.2504145936981758,149,0.5674644835716727,1.4299208958393477,0.375,policy_max_precision_with_recall_ge_0.85,0.7579617834394905,0.85,0.8013468013468014,0.8526936875483606,0.9432192231731402,0.07726261177731114,0.25592739241233153,0.8476401198256088,0.93639746820606,0.0852205187924216,0.27523689134461504,0.7643312101910829,0.7947019867549668,0.7792207792207793,415,37,31,120
monotonic_time_decay_3y,단조 제약 + half-life 3년,방향성 제약과 완만한 최근연도 가중치를 함께 적용,3.0,True,broad,False,46,0,24,2021,2020,2575,603,673,0.2451708766716196,399,0.4814390493336145,1.528473706741499,0.28,policy_max_precision_with_recall_ge_0.85,0.7142857142857143,0.8609271523178808,0.7807807807807807,0.8738328998655939,0.9476205825470316,0.07780290108341502,0.2480648402857151,0.8047627601158069,0.9192436172751133,0.09312630770946163,0.3063761477274973,0.6525821596244131,0.8424242424242424,0.7354497354497355,434,74,26,139
monotonic_time_decay_3y,단조 제약 + half-life 3년,방향성 제약과 완만한 최근연도 가중치를 함께 적용,3.0,True,broad,False,46,0,24,2022,2021,3178,673,676,0.2603550295857988,284,0.40950714881087874,1.638028595243515,0.26,policy_max_precision_with_recall_ge_0.85,0.6729857819905213,0.8606060606060606,0.7553191489361702,0.8358456179008206,0.9324385588165115,0.08624492526557283,0.276859894036345,0.8004754120358227,0.9190340909090909,0.09811466821029328,0.31341571988873373,0.65,0.8863636363636364,0.75,416,84,20,156
monotonic_core_time_decay_3y,핵심 변수 단조 제약 + half-life 3년,방향성이 가장 명확한 leverage/liquidity/cashflow/guardrail 변수만 제약,3.0,True,core,False,46,0,15,2019,2018,1490,511,574,0.24390243902439024,353,0.6656027264895604,1.3312054529791209,0.23,policy_max_precision_with_recall_ge_0.85,0.6217948717948718,0.8584070796460177,0.7211895910780669,0.8325914153358192,0.9246008805087383,0.08013307676025798,0.268704776653124,0.8291486921766579,0.9318301514154049,0.08403702692434112,0.2777034076501167,0.62,0.8857142857142857,0.7294117647058823,358,76,16,124
monotonic_core_time_decay_3y,핵심 변수 단조 제약 + half-life 3년,방향성이 가장 명확한 leverage/liquidity/cashflow/guardrail 변수만 제약,3.0,True,core,False,46,0,15,2020,2019,2001,574,603,0.2504145936981758,244,0.5674644835716727,1.4299208958393477,0.31,policy_max_precision_with_recall_ge_0.85,0.7125748502994012,0.85,0.7752442996742671,0.8621752441309771,0.9493910467412772,0.07457790598633735,0.24498087393771104,0.8469470069601855,0.9359872238176171,0.08644617732333887,0.27600950506878935,0.6994219653179191,0.8013245033112583,0.7469135802469136,400,52,30,121
monotonic_core_time_decay_3y,핵심 변수 단조 제약 + half-life 3년,방향성이 가장 명확한 leverage/liquidity/cashflow/guardrail 변수만 제약,3.0,True,core,False,46,0,15,2021,2020,2575,603,673,0.2451708766716196,250,0.4814390493336145,1.528473706741499,0.28,policy_max_precision_with_recall_ge_0.85,0.7247191011235955,0.8543046357615894,0.78419452887538,0.8738631922782228,0.9479575690089668,0.07696515039780803,0.24838842018880192,0.8186640096554003,0.9235385349558578,0.09221693180681702,0.29566454078329585,0.6445497630331753,0.8242424242424242,0.723404255319149,433,75,29,136
monotonic_core_time_decay_3y,핵심 변수 단조 제약 + half-life 3년,방향성이 가장 명확한 leverage/liquidity/cashflow/guardrail 변수만 제약,3.0,True,core,False,46,0,15,2022,2021,3178,673,676,0.2603550295857988,381,0.40950714881087874,1.638028595243515,0.27,policy_max_precision_with_recall_ge_0.85,0.6746411483253588,0.8545454545454545,0.7540106951871658,0.8496937119764318,0.9374731567644953,0.0835555411021801,0.26744362758912554,0.8187516697213931,0.9237272727272727,0.09423317377607072,0.304664271754431,0.6981132075471698,0.8409090909090909,0.7628865979381443,436,64,28,148
