candidate_id,is_baseline,max_depth,min_child_weight,gamma,reg_alpha,reg_lambda,subsample,colsample_bytree,scale_pos_weight_multiplier,eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,best_iteration,threshold_tuned,threshold_selection_rule,policy_precision_at_threshold,policy_recall_at_threshold,policy_f1_at_threshold,policy_pr_auc,policy_roc_auc,policy_brier,policy_logloss,eval_pr_auc,eval_roc_auc,eval_brier,eval_logloss,eval_precision_at_threshold,eval_recall_at_threshold,eval_f1_at_threshold,eval_true_negative_at_threshold,eval_false_positive_at_threshold,eval_false_negative_at_threshold,eval_true_positive_at_threshold
grid_regularized_042,False,3,8.0,1.0,0.0,10.0,0.65,0.8,1.0,2021,2020,2575,603,673,0.2451708766716196,398,0.3,policy_max_precision_with_recall_ge_0.85,0.7166666666666667,0.8543046357615894,0.7794561933534743,0.8710994202228907,0.9469319580378597,0.07722260220204297,0.2501769827065834,0.8141133371725815,0.9208422810785015,0.09488697568087456,0.3008623777833466,0.6445497630331753,0.8242424242424242,0.723404255319149,433,75,29,136
grid_regularized_042,False,3,8.0,1.0,0.0,10.0,0.65,0.8,1.0,2022,2021,3178,673,676,0.2603550295857988,392,0.24,policy_max_precision_with_recall_ge_0.85,0.6457399103139013,0.8727272727272727,0.7422680412371134,0.8320922667607291,0.9296826533047005,0.08751608753631135,0.2815143662616899,0.8244028152880756,0.926375,0.0913960023957884,0.2967763825894396,0.6909090909090909,0.8636363636363636,0.7676767676767676,432,68,24,152
grid_regularized_043,False,3,8.0,1.0,0.05,3.0,0.9,0.65,1.0,2019,2018,1490,511,574,0.24390243902439024,319,0.27,policy_max_precision_with_recall_ge_0.85,0.6423841059602649,0.8584070796460177,0.7348484848484849,0.8232783480273861,0.9238671232267532,0.08206879091791927,0.27483250320891095,0.8300652135074627,0.9305957867017773,0.08419570118933456,0.2795312593045623,0.6666666666666666,0.8571428571428571,0.75,374,60,20,120
grid_regularized_043,False,3,8.0,1.0,0.05,3.0,0.9,0.65,1.0,2020,2019,2001,574,603,0.2504145936981758,395,0.355,policy_max_precision_with_recall_ge_0.85,0.7547169811320755,0.8571428571428571,0.802675585284281,0.8626466158219173,0.9472350230414747,0.07506623912634741,0.24903691673924036,0.8585282676574629,0.9423899665943856,0.08037598953711617,0.26117838581352276,0.7485029940119761,0.8278145695364238,0.7861635220125787,410,42,26,125
grid_regularized_043,False,3,8.0,1.0,0.05,3.0,0.9,0.65,1.0,2021,2020,2575,603,673,0.2451708766716196,399,0.29,policy_max_precision_with_recall_ge_0.85,0.7206703910614525,0.8543046357615894,0.7818181818181819,0.8730968303234512,0.9476645373029362,0.07608101114046488,0.24686903787908995,0.8212562704105578,0.9225841088045812,0.09102950590181834,0.2961554803582878,0.6602870813397129,0.8363636363636363,0.7379679144385026,437,71,27,138
grid_regularized_043,False,3,8.0,1.0,0.05,3.0,0.9,0.65,1.0,2022,2021,3178,673,676,0.2603550295857988,391,0.26,policy_max_precision_with_recall_ge_0.85,0.6467889908256881,0.8545454545454545,0.7362924281984334,0.8366921527793841,0.9321045096635647,0.08572366310823692,0.2778284993036091,0.8250397502842359,0.9249318181818184,0.09251262396493522,0.29992261225182676,0.7009345794392523,0.8522727272727273,0.7692307692307693,436,64,26,150
grid_regularized_044,False,3,8.0,1.0,0.2,1.0,0.65,0.8,1.0,2019,2018,1490,511,574,0.24390243902439024,231,0.225,policy_max_precision_with_recall_ge_0.85,0.5950920245398773,0.8584070796460177,0.7028985507246377,0.8152456625345149,0.9197758705029572,0.08446010436908567,0.28007363589723483,0.828907300000622,0.9288018433179724,0.08397548898482045,0.2802631419261532,0.6180904522613065,0.8785714285714286,0.7256637168141593,358,76,17,123
grid_regularized_044,False,3,8.0,1.0,0.2,1.0,0.65,0.8,1.0,2020,2019,2001,574,603,0.2504145936981758,245,0.34,policy_max_precision_with_recall_ge_0.85,0.725609756097561,0.85,0.7828947368421053,0.8572137422969555,0.9444700460829494,0.07640107694676539,0.2531954477570836,0.8436313077655911,0.9343022915079413,0.08608986712311342,0.2774744161162676,0.7267441860465116,0.8278145695364238,0.7739938080495357,405,47,26,125
grid_regularized_044,False,3,8.0,1.0,0.2,1.0,0.65,0.8,1.0,2021,2020,2575,603,673,0.2451708766716196,348,0.3,policy_max_precision_with_recall_ge_0.85,0.7277777777777777,0.8675496688741722,0.7915407854984894,0.8720506175231447,0.9476059309617301,0.07612856600715853,0.24809610240781219,0.8144480457616489,0.9198878549272251,0.0938431916480742,0.3022523308347138,0.6442307692307693,0.8121212121212121,0.7184986595174263,434,74,31,134
grid_regularized_044,False,3,8.0,1.0,0.2,1.0,0.65,0.8,1.0,2022,2021,3178,673,676,0.2603550295857988,141,0.255,policy_max_precision_with_recall_ge_0.85,0.6322869955156951,0.8545454545454545,0.7268041237113402,0.8253920206385837,0.9246122643760438,0.09164025052868659,0.2922345443776481,0.8219822915129367,0.9212386363636365,0.0933442207996135,0.3039457250146601,0.6594827586206896,0.8693181818181818,0.75,421,79,23,153
grid_regularized_045,False,3,8.0,1.0,1.0,3.0,0.65,0.65,0.8,2019,2018,1490,511,574,0.24390243902439024,395,0.235,policy_max_precision_with_recall_ge_0.85,0.61875,0.8761061946902655,0.7252747252747253,0.821991661213829,0.9218659670031573,0.08265442070367698,0.275729431295274,0.8213172525202441,0.9287853851217907,0.08560496122398882,0.2821838884252296,0.634020618556701,0.8785714285714286,0.7365269461077845,363,71,17,123
grid_regularized_045,False,3,8.0,1.0,1.0,3.0,0.65,0.65,0.8,2020,2019,2001,574,603,0.2504145936981758,245,0.34,policy_max_precision_with_recall_ge_0.85,0.7300613496932515,0.85,0.7854785478547854,0.8547329388253954,0.9439598420013167,0.07771175530296844,0.2545166261140539,0.8411032303608332,0.9340385629725136,0.08576822727365294,0.2782870133321692,0.7245508982035929,0.8013245033112583,0.7610062893081762,406,46,30,121
grid_regularized_045,False,3,8.0,1.0,1.0,3.0,0.65,0.65,0.8,2021,2020,2575,603,673,0.2451708766716196,345,0.315,policy_max_precision_with_recall_ge_0.85,0.7413793103448276,0.8543046357615894,0.7938461538461539,0.8692773955361351,0.9463458946257985,0.07740194557249454,0.25077112937853197,0.8166800118267348,0.9214030064423766,0.09321940045171533,0.2988625640114502,0.6553398058252428,0.8181818181818182,0.7277628032345014,437,71,30,135
grid_regularized_045,False,3,8.0,1.0,1.0,3.0,0.65,0.65,0.8,2022,2021,3178,673,676,0.2603550295857988,153,0.235,policy_max_precision_with_recall_ge_0.85,0.6120689655172413,0.8606060606060606,0.7153652392947103,0.8248639628935834,0.9244810307802435,0.09169441643589925,0.2921584398714114,0.8207277507027327,0.9224545454545454,0.09269155037931501,0.3021335357549963,0.6652360515021459,0.8806818181818182,0.7579462102689487,422,78,21,155
grid_regularized_046,False,3,8.0,3.0,1.0,3.0,0.8,0.9,0.8,2019,2018,1490,511,574,0.24390243902439024,214,0.21,policy_max_precision_with_recall_ge_0.85,0.5843373493975904,0.8584070796460177,0.6953405017921147,0.8170914690869043,0.9201093965402233,0.08454838627460125,0.28101746103219594,0.8251291154948399,0.9286701777485188,0.08534973399027984,0.28251336449770037,0.5849056603773585,0.8857142857142857,0.7045454545454546,346,88,16,124
grid_regularized_046,False,3,8.0,3.0,1.0,3.0,0.8,0.9,0.8,2020,2019,2001,574,603,0.2504145936981758,396,0.365,policy_max_precision_with_recall_ge_0.85,0.7547169811320755,0.8571428571428571,0.802675585284281,0.8516439749891993,0.9454410796576694,0.07687149461525147,0.2525978859599462,0.8460239218089963,0.935518373087968,0.08409341288452826,0.2747076985720446,0.7361963190184049,0.7947019867549668,0.7643312101910829,409,43,31,120
grid_regularized_046,False,3,8.0,3.0,1.0,3.0,0.8,0.9,0.8,2021,2020,2575,603,673,0.2451708766716196,394,0.29,policy_max_precision_with_recall_ge_0.85,0.7103825136612022,0.8609271523178808,0.7784431137724551,0.8660684920521252,0.9451884193869777,0.07748396722212877,0.25326297312873614,0.816761173915328,0.9224409448818897,0.091996664926945,0.29767688897131983,0.6555023923444976,0.8303030303030303,0.732620320855615,436,72,28,137
grid_regularized_046,False,3,8.0,3.0,1.0,3.0,0.8,0.9,0.8,2022,2021,3178,673,676,0.2603550295857988,398,0.265,policy_max_precision_with_recall_ge_0.85,0.6454545454545455,0.8606060606060606,0.7376623376623377,0.8365606863868054,0.9307444523979955,0.08625312604135972,0.2790730768292789,0.8247497900007869,0.9243636363636364,0.09258790665664345,0.2997983888638467,0.695852534562212,0.8579545454545454,0.7684478371501272,434,66,25,151
grid_regularized_047,False,3,8.0,3.0,1.0,6.0,0.9,0.9,0.8,2019,2018,1490,511,574,0.24390243902439024,247,0.22,policy_max_precision_with_recall_ge_0.85,0.5773809523809523,0.8584070796460177,0.6903914590747331,0.808318390976669,0.917663538933606,0.08577112795663706,0.28557848223765814,0.8169497751070228,0.9271066491112573,0.08601122612399181,0.285988776527529,0.5990338164251208,0.8857142857142857,0.7146974063400576,351,83,16,124
grid_regularized_047,False,3,8.0,3.0,1.0,6.0,0.9,0.9,0.8,2020,2019,2001,574,603,0.2504145936981758,247,0.355,policy_max_precision_with_recall_ge_0.85,0.7345679012345679,0.85,0.7880794701986755,0.8478931133272201,0.9423633969716918,0.07781813358186916,0.257292353876661,0.8407497152585722,0.9345367168727657,0.08516010597041895,0.2769855588769901,0.7454545454545455,0.8145695364238411,0.7784810126582279,410,42,28,123
grid_regularized_047,False,3,8.0,3.0,1.0,6.0,0.9,0.9,0.8,2021,2020,2575,603,673,0.2451708766716196,361,0.275,policy_max_precision_with_recall_ge_0.85,0.6989247311827957,0.8609271523178808,0.771513353115727,0.8643897283519356,0.9439137314657445,0.07885182339757875,0.2558894157184377,0.8198763682721739,0.9230971128608924,0.09272863557432379,0.29614265637231035,0.634703196347032,0.8424242424242424,0.7239583333333334,428,80,26,139
grid_regularized_047,False,3,8.0,3.0,1.0,6.0,0.9,0.9,0.8,2022,2021,3178,673,676,0.2603550295857988,248,0.255,policy_max_precision_with_recall_ge_0.85,0.6574074074074074,0.8606060606060606,0.7454068241469817,0.8319191532360349,0.9308398950131234,0.08792001442365846,0.2817241082397446,0.8331529711498469,0.9273409090909092,0.0914245118272686,0.2947220473842126,0.6894977168949772,0.8579545454545454,0.7645569620253164,432,68,25,151
grid_regularized_048,False,3,12.0,0.0,0.2,1.0,0.9,0.65,0.8,2019,2018,1490,511,574,0.24390243902439024,397,0.24,policy_max_precision_with_recall_ge_0.85,0.6163522012578616,0.8672566371681416,0.7205882352941176,0.8165579383293526,0.9200871614710722,0.08410647834727562,0.2811412672455936,0.8251386581057267,0.9285385121790652,0.08634040741009127,0.28274290179631345,0.6282722513089005,0.8571428571428571,0.7250755287009063,363,71,20,120
grid_regularized_048,False,3,12.0,0.0,0.2,1.0,0.9,0.65,0.8,2020,2019,2001,574,603,0.2504145936981758,224,0.35,policy_max_precision_with_recall_ge_0.85,0.7333333333333333,0.8642857142857143,0.7934426229508197,0.8558852483636964,0.9432850559578669,0.07665490447870253,0.2554021337207715,0.8482808941881648,0.9358114047939987,0.08408110867609364,0.2752398915394167,0.7530120481927711,0.8278145695364238,0.7886435331230284,411,41,26,125
grid_regularized_048,False,3,12.0,0.0,0.2,1.0,0.9,0.65,0.8,2021,2020,2575,603,673,0.2451708766716196,369,0.295,policy_max_precision_with_recall_ge_0.85,0.7010869565217391,0.8543046357615894,0.7701492537313432,0.8689174018707833,0.9451884193869776,0.0773411748401132,0.252248194795288,0.8187053236210692,0.9212359818659032,0.09257474449825022,0.2984782566259997,0.6492890995260664,0.8303030303030303,0.7287234042553191,434,74,28,137
grid_regularized_048,False,3,12.0,0.0,0.2,1.0,0.9,0.65,0.8,2022,2021,3178,673,676,0.2603550295857988,390,0.25,policy_max_precision_with_recall_ge_0.85,0.6497695852534562,0.8545454545454545,0.7382198952879581,0.8342378232871618,0.9324385588165116,0.08531630138952769,0.2768954690002284,0.8251891645987157,0.9264204545454544,0.09259747807775925,0.29876437625329094,0.705607476635514,0.8579545454545454,0.7743589743589744,437,63,25,151
grid_regularized_049,False,3,12.0,0.5,0.0,6.0,0.9,0.65,1.0,2019,2018,1490,511,574,0.24390243902439024,372,0.245,policy_max_precision_with_recall_ge_0.85,0.6242038216560509,0.8672566371681416,0.725925925925926,0.816830302143449,0.9218659670031575,0.08359504724800128,0.27878267431229053,0.8266420266031849,0.9294766293614221,0.08552055860534323,0.2813711840730837,0.640625,0.8785714285714286,0.7409638554216867,365,69,17,123
grid_regularized_049,False,3,12.0,0.5,0.0,6.0,0.9,0.65,1.0,2020,2019,2001,574,603,0.2504145936981758,316,0.37,policy_max_precision_with_recall_ge_0.85,0.7643312101910829,0.8571428571428571,0.8080808080808081,0.8590694607801432,0.9453258722843977,0.07623980779032069,0.2525633127897705,0.8526382787739738,0.939386391607572,0.08247370187744088,0.2684491371227404,0.7423312883435583,0.8013245033112583,0.7707006369426752,410,42,30,121
