policy_name,policy_type,selection_rule,split,dimension,segment,rows,positive_rows,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
kosdaq_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,test,market,KOSDAQ,427,163,0.38173302107728335,0.7540983606557377,0.7565416434281464,0.6510416666666666,0.7668711656441718,0.7042253521126761,197,67,38,125
kosdaq_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,test,market,KOSPI,497,40,0.08048289738430583,0.9577464788732394,0.9199945295404814,0.6862745098039216,0.875,0.7692307692307692,441,16,5,35
kosdaq_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8806818181818182,0.8293394777265745,0.5,0.7619047619047619,0.6037735849056604,139,16,5,16
kosdaq_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8361204013377926,0.8158483406954355,0.6720430107526881,0.7716049382716049,0.7183908045977012,375,61,37,125
targeted_kosdaq_it_mfg_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8213399503722084,0.819055944055944,0.7204968944099379,0.8111888111888111,0.763157894736842,215,45,27,116
targeted_kosdaq_it_mfg_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,valid,market,KOSPI,273,33,0.12087912087912088,0.9413919413919414,0.8621212121212121,0.7575757575757576,0.7575757575757576,0.7575757575757576,232,8,8,25
targeted_kosdaq_it_mfg_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.875968992248062,0.856439704675964,0.6129032258064516,0.8260869565217391,0.7037037037037037,94,12,4,19
targeted_kosdaq_it_mfg_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8511111111111112,0.8328727988010491,0.7379310344827587,0.7867647058823529,0.7615658362989324,276,38,29,107
targeted_kosdaq_it_mfg_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,test,market,KOSDAQ,427,163,0.38173302107728335,0.7540983606557377,0.7565416434281464,0.6510416666666666,0.7668711656441718,0.7042253521126761,197,67,38,125
targeted_kosdaq_it_mfg_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,test,market,KOSPI,497,40,0.08048289738430583,0.959758551307847,0.9096827133479213,0.7083333333333334,0.85,0.7727272727272727,443,14,6,34
targeted_kosdaq_it_mfg_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8806818181818182,0.8293394777265745,0.5,0.7619047619047619,0.6037735849056604,139,16,5,16
targeted_kosdaq_it_mfg_conservative_recall_0.80,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.80,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8377926421404682,0.8150554989240004,0.6775956284153005,0.7654320987654321,0.7188405797101449,377,59,38,124
