market,stock_code,corp_name,fiscal_year,eval_year,industry_macro_category,firm_size_group,split,is_speculative,prob_speculative,feature,rank,shap_value,abs_shap,direction,feature_value,stock_code_norm,firm_size_group_score,industry_macro_category_score,error_type,is_speculative_score,predicted_current,actual_label_name,predicted_label_name,prob_speculative_score,threshold,probability_distance_from_threshold,feature_group,korean_name,description,case_id
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,listed_year,4,-0.4465552866458893,0.4465552866458893,decrease_risk,2017,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,context,상장연도,상장일에서 추출한 연도,KOSDAQ|178320|(주)서진시스템|2024|2025
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,net_margin,5,-0.3756671547889709,0.3756671547889709,decrease_risk,0.069142,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,profitability_returns,순이익률,매출액 대비 당기순이익 비율,KOSDAQ|178320|(주)서진시스템|2024|2025
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,capital_impairment_ratio,6,-0.3037936687469482,0.3037936687469482,decrease_risk,-30.133017,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,KOSDAQ|178320|(주)서진시스템|2024|2025
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,cashflow_coverage_ratio,7,0.2678343057632446,0.2678343057632446,increase_risk,-2.294987,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,KOSDAQ|178320|(주)서진시스템|2024|2025
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,total_assets_growth,8,0.2332489937543869,0.2332489937543869,increase_risk,0.383588,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,trend_early_warning,총자산증가율,전년 대비 총자산 증가율,KOSDAQ|178320|(주)서진시스템|2024|2025
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,industry_macro_category,9,0.225901648402214,0.225901648402214,increase_risk,manufacturing,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,context,산업 대분류,모델링용 산업 대분류,KOSDAQ|178320|(주)서진시스템|2024|2025
KOSDAQ,178320,(주)서진시스템,2024,2025,manufacturing,mid_sized,test,1,0.045508394316246,dividend_payer,10,0.2168608605861663,0.2168608605861663,increase_risk,0,178320,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.045508394316246,0.315,0.269491605683754,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,KOSDAQ|178320|(주)서진시스템|2024|2025
KOSDAQ,123410,코리아에프티(주),2023,2024,manufacturing,mid_sized,test,1,0.0488009836753811,gross_profit,1,-0.6053450703620911,0.6053450703620911,decrease_risk,95847992,123410,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0488009836753811,0.315,0.2661990163246189,profitability_returns,매출총이익,매출총이익(손실),KOSDAQ|123410|코리아에프티(주)|2023|2024
KOSDAQ,123410,코리아에프티(주),2023,2024,manufacturing,mid_sized,test,1,0.0488009836753811,total_debt_turnover,2,-0.554500937461853,0.554500937461853,decrease_risk,2.85753,123410,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0488009836753811,0.315,0.2661990163246189,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,KOSDAQ|123410|코리아에프티(주)|2023|2024
KOSDAQ,123410,코리아에프티(주),2023,2024,manufacturing,mid_sized,test,1,0.0488009836753811,depreciation,3,-0.5355249047279358,0.5355249047279358,decrease_risk,21185740,123410,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0488009836753811,0.315,0.2661990163246189,cashflow_structure,감가상각비,감가상각비,KOSDAQ|123410|코리아에프티(주)|2023|2024
KOSDAQ,123410,코리아에프티(주),2023,2024,manufacturing,mid_sized,test,1,0.0488009836753811,dividend_payer,4,-0.3598403036594391,0.3598403036594391,decrease_risk,1,123410,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0488009836753811,0.315,0.2661990163246189,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,KOSDAQ|123410|코리아에프티(주)|2023|2024
KOSDAQ,123410,코리아에프티(주),2023,2024,manufacturing,mid_sized,test,1,0.0488009836753811,assets_total,5,-0.3222594261169433,0.3222594261169433,decrease_risk,415160886,123410,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0488009836753811,0.315,0.2661990163246189,stability_leverage,자산총계,총자산,KOSDAQ|123410|코리아에프티(주)|2023|2024
