prediction_result,market,stock_code,corp_name,fiscal_year,eval_year,credit_rating,credit_rating_rank,rating_boundary_group,rating_agency_group,selection_scope,industry_macro_category,firm_size_group,prob_speculative,threshold,distance_from_threshold,actual_label_name,predicted_label_name,confidence_error_score
false_positive,KOSDAQ,335870,(주)윙스풋,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,wholesale_retail,small_and_medium,0.5109866682458191,0.32,0.19098666824581906,투자적격,투기등급,0.5109866682458191
false_positive,KOSDAQ,241770,(주)메카로,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.508792131859702,0.32,0.18879213185970195,투자적격,투기등급,0.508792131859702
false_positive,KOSDAQ,036000,(주)예림당,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,it_services,mid_sized,0.4871185173834403,0.32,0.1671185173834403,투자적격,투기등급,0.4871185173834403
false_positive,KOSDAQ,317330,(주)덕산테코피아,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.4806747353108361,0.32,0.1606747353108361,투자적격,투기등급,0.4806747353108361
false_positive,KOSDAQ,065370,(주)위세아이텍,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,it_services,small_and_medium,0.4670116793449928,0.32,0.14701167934499282,투자적격,투기등급,0.4670116793449928
false_positive,KOSDAQ,079650,(주)서산,2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.466966747493078,0.32,0.14696674749307798,투자적격,투기등급,0.466966747493078
false_positive,KOSDAQ,220180,(주)핸디소프트,2023,2024,A-,7.0,upper_investment_A_or_above,OTHER,OTHER_DOMESTIC,it_services,small_and_medium,0.461632094171832,0.32,0.14163209417183198,투자적격,투기등급,0.461632094171832
false_positive,KOSPI,069460,(주)대호에이엘,2024,2025,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.4550148356567354,0.32,0.1350148356567354,투자적격,투기등급,0.4550148356567354
false_positive,KOSDAQ,310870,디와이씨(주),2023,2024,BBB-,10.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.4500022272677716,0.32,0.1300022272677716,투자적격,투기등급,0.4500022272677716
false_positive,KOSDAQ,104540,(주)코렌텍,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,small_and_medium,0.439590895479666,0.32,0.119590895479666,투자적격,투기등급,0.439590895479666
false_positive,KOSPI,079980,(주)휴비스,2023,2024,BBB+,8.0,near_investment_BBB_plus_to_BBB_minus,BIG3,BIG3,manufacturing,mid_sized,0.437924896773596,0.32,0.11792489677359597,투자적격,투기등급,0.437924896773596
false_positive,KOSDAQ,299900,(주)위지윅스튜디오,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,it_services,small_and_medium,0.4262737874665379,0.32,0.10627378746653787,투자적격,투기등급,0.4262737874665379
false_positive,KOSPI,003160,(주)디아이,2023,2024,BBB,9.0,near_investment_BBB_plus_to_BBB_minus,OTHER,OTHER_DOMESTIC,manufacturing,mid_sized,0.4215103934691487,0.32,0.1015103934691487,투자적격,투기등급,0.4215103934691487
