comparison,feature,error_median,reference_median,median_delta,standardized_median_delta,abs_standardized_median_delta,error_mean,reference_mean,error_missing_rate,reference_missing_rate,error_rows,reference_rows
false_positive_vs_true_negative,pretax_roa,-0.0021514903307631,0.0368824932072191,-0.039033983537982195,-0.5563303061895972,0.5563303061895972,-0.002933478588727522,0.04258693167660699,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,short_term_borrowings_share,0.7692605905129297,0.4446344049599475,0.3246261855529822,0.538797081567082,0.538797081567082,0.6757993903103122,0.48258936206174075,0.14864864864864866,0.11901081916537867,74,647
false_positive_vs_true_negative,cashflow_coverage_ratio,0.4220738994105372,5.463144363796607,-5.0410704643860695,-0.512177208501655,0.512177208501655,12126.760668032077,7781.635550657074,0.0,0.0,74,647
false_positive_vs_true_negative,capital_impairment_ratio,-5.801162563441147,-21.163430428810486,15.36226786536934,0.49557447003368044,0.49557447003368044,-10.333866938820256,-72.03336155044128,0.013513513513513514,0.0015455950540958269,74,647
false_positive_vs_true_negative,net_margin,0.0,0.0339220796411875,-0.0339220796411875,-0.4646762156065891,0.4646762156065891,0.003150622255118993,0.049085880619846194,0.013513513513513514,0.0015455950540958269,74,647
false_positive_vs_true_negative,listed_year,2013.5,2004.0,9.5,0.4523809523809524,0.4523809523809524,2009.1081081081081,2001.6228748068006,0.0,0.0,74,647
false_positive_vs_true_negative,gross_profit,16169720.0,216449488.0,-200279768.0,-0.4208968248468629,0.4208968248468629,57021618.02622973,1391960708.9556043,0.0,0.0,74,647
false_positive_vs_true_negative,assets_total,166464298.0,1464678817.0,-1298214519.0,-0.4129595472368141,0.4129595472368141,1115910376.576946,10343856675.697145,0.0,0.0,74,647
false_positive_vs_true_negative,depreciation,3740001.927,34917603.0,-31177601.073,-0.3888376775360481,0.3888376775360481,35406167.40043243,369061438.0376337,0.0,0.0,74,647
false_positive_vs_true_negative,total_assets_growth,-0.004952876751168,0.042207373860959047,-0.047160250612127044,-0.3128137368973019,0.3128137368973019,0.06552166605221643,0.09765815291645372,0.04054054054054054,0.10664605873261206,74,647
false_positive_vs_true_negative,market_to_book,0.938415,0.635437,0.30297799999999997,0.29969009991384515,0.29969009991384515,1.7201894477611939,1.0560537474226805,0.0945945945945946,0.10046367851622875,74,647
false_positive_vs_true_negative,intangible_assets_ratio,0.0089465349338452,0.0136439942397357,-0.0046974593058905,-0.20119673841814423,0.20119673841814423,0.013574788383560708,0.028034172069744623,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,accruals_ratio,-0.0154797458507417,-0.0290284632701868,0.0135487174194451,0.17757056816280317,0.17757056816280317,-0.01631131679610271,-0.029268092652054167,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,total_debt_turnover,1.668462315642968,1.8830776190828096,-0.21461530343984148,-0.1388811109455327,0.1388811109455327,1.9610030899258382,2.3403822268184804,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,cash_ratio,0.2468156886441087,0.2811571122556009,-0.03434142361149223,-0.09074675817277035,0.09074675817277035,1.7430220947539963,2.9872775566038565,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,net_margin_diff,0.0018787987580521,-0.00024289696935355,0.00212169572740565,0.03245940547806806,0.03245940547806806,0.03290601282513876,-0.005815064049293985,0.04054054054054054,0.10664605873261206,74,647
false_positive_vs_true_negative,total_borrowings_ratio,0.1643071748732187,0.1596304821330467,0.004676692740171989,0.02131545985326216,0.02131545985326216,0.19408523657961413,0.16493487083662847,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,debt_ratio,0.9055260494666394,0.9293009905362912,-0.023774941069651834,-0.020386428512341674,0.020386428512341674,1.2562016243297294,1.18692992979498,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,current_ratio,1.4246037366173652,1.4151245511829609,0.009479185434404291,0.008221993631167955,0.008221993631167955,4.180095096370289,15.889538384832866,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,equity_ratio,0.5178497452511922,0.5183224416020376,-0.00047269635084534745,-0.0015632970748384056,0.0015632970748384056,0.5363059226760655,0.5387324369931626,0.013513513513513514,0.0,74,647
false_positive_vs_true_negative,is_2y_consecutive_ocf_deficit,0.0,0.0,0.0,0.0,0.0,0.24324324324324326,0.03554868624420402,0.0,0.0,74,647
false_positive_vs_true_negative,spec_spread,6.374,6.374,0.0,0.0,0.0,6.33872972972973,6.268219474497682,0.0,0.0,74,647
false_positive_vs_true_negative,is_2y_consecutive_operating_loss,0.0,0.0,0.0,0.0,0.0,0.25675675675675674,0.02472952086553323,0.0,0.0,74,647
