threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,delta_precision,delta_recall,delta_f1,delta_false_positive,delta_false_negative
0.51,0.7039473684210527,0.6407185628742516,0.670846394984326,460,45,60,107,0.06394736842105264,-0.22155688622754488,-0.06384748256669448,-36,37
0.515,0.7086092715231788,0.6407185628742516,0.6729559748427673,461,44,60,107,0.06860927152317875,-0.22155688622754488,-0.06173790270825319,-37,37
0.52,0.7066666666666667,0.6347305389221557,0.668769716088328,461,44,61,106,0.06666666666666665,-0.22754491017964074,-0.06592416146269242,-37,38
0.525,0.7163120567375887,0.6047904191616766,0.6558441558441559,465,40,66,101,0.07631205673758867,-0.2574850299401198,-0.07884972170686455,-41,43
0.53,0.7194244604316546,0.5988023952095808,0.6535947712418301,466,39,67,100,0.07942446043165463,-0.26347305389221565,-0.08109910630919037,-42,44
0.535,0.717391304347826,0.592814371257485,0.6491803278688525,466,39,68,99,0.07739130434782604,-0.2694610778443114,-0.08551354968216796,-42,45
0.54,0.7226277372262774,0.592814371257485,0.6513157894736842,467,38,68,99,0.08262773722627736,-0.2694610778443114,-0.08337808807733627,-43,45
0.545,0.7333333333333333,0.592814371257485,0.6556291390728477,469,36,68,99,0.09333333333333327,-0.2694610778443114,-0.07906473847817275,-45,45
0.55,0.7443609022556391,0.592814371257485,0.66,471,34,68,99,0.1043609022556391,-0.2694610778443114,-0.07469387755102042,-47,45
0.555,0.7557251908396947,0.592814371257485,0.6644295302013423,473,32,68,99,0.11572519083969468,-0.2694610778443114,-0.07026434734967812,-49,45
0.56,0.7557251908396947,0.592814371257485,0.6644295302013423,473,32,68,99,0.11572519083969468,-0.2694610778443114,-0.07026434734967812,-49,45
0.565,0.7615384615384615,0.592814371257485,0.6666666666666666,474,31,68,99,0.12153846153846148,-0.2694610778443114,-0.06802721088435382,-50,45
0.57,0.753968253968254,0.5688622754491018,0.6484641638225256,474,31,72,95,0.11396825396825394,-0.2934131736526946,-0.08622971372849486,-50,49
0.575,0.753968253968254,0.5688622754491018,0.6484641638225256,474,31,72,95,0.11396825396825394,-0.2934131736526946,-0.08622971372849486,-50,49
0.58,0.752,0.562874251497006,0.6438356164383562,474,31,73,94,0.11199999999999999,-0.29940119760479045,-0.09085826111266426,-50,50
0.585,0.752,0.562874251497006,0.6438356164383562,474,31,73,94,0.11199999999999999,-0.29940119760479045,-0.09085826111266426,-50,50
0.59,0.7479674796747967,0.5508982035928144,0.6344827586206897,474,31,75,92,0.1079674796747967,-0.31137724550898205,-0.10021111893033074,-50,52
0.595,0.7520661157024794,0.5449101796407185,0.6319444444444444,475,30,76,91,0.11206611570247937,-0.3173652694610779,-0.10274943310657603,-51,53
